instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N30-1.txt,0.39,0.05,100000,2115,205,29,20,160000
N10-6.txt,0.39,0.05,100000,2115,198,11,3,160000
N30-9.txt,0.39,0.05,100000,2115,746,49,6,160000
N20-3.txt,0.39,0.05,100000,2115,489,21,6,160000
N50-4.txt,0.39,0.05,100000,2115,1311,51,11,160000
N10-8.txt,0.74,0.05,100000,2116,71,13,9,490000
N50-5.txt,0.74,0.05,100000,2116,1312,54,12,490000
N40-5.txt,0.74,0.05,100000,2116,149,26,30,490000
N20-2.txt,0.74,0.05,100000,2116,492,22,5,490000
N30-2.txt,0.74,0.05,100000,2116,771,32,6,490000
N40-8.txt,0.74,0.05,100000,2116,1021,67,6,490000
N50-9.txt,0.74,0.05,100000,2116,1290,47,14,490000
N40-7.txt,0.74,0.05,100000,2116,194,63,33,490000
N50-8.txt,0.74,0.05,100000,2116,1288,54,11,490000
N20-10.txt,0.74,0.05,100000,2116,469,18,6,490000
N20-1.txt,0.74,0.05,100000,2116,366,20,7,490000
N30-10.txt,0.74,0.05,100000,2116,378,42,15,490000
N30-8.txt,0.74,0.05,100000,2116,745,32,6,490000
N20-9.txt,0.74,0.05,100000,2116,139,17,10,490000
N10-10.txt,0.74,0.05,100000,2116,204,11,3,490000
N50-6.txt,0.74,0.05,100000,2116,299,77,35,490000
N40-6.txt,0.74,0.05,100000,2116,294,68,23,490000
N10-9.txt,0.74,0.05,100000,2116,200,9,2,490000
N50-7.txt,0.74,0.05,100000,2116,1287,54,11,490000
NPlus-1.txt,0.74,0.05,100000,2116,878,59,25,490000
N10-7.txt,0.74,0.05,100000,2116,158,14,6,490000
N40-4.txt,0.74,0.05,100000,2116,444,35,20,490000
NPlus-3.txt,0.74,0.05,100000,2116,1158,49,19,490000
NPlus-2.txt,0.74,0.05,100000,2116,1325,54,10,490000
N30-1.txt,0.74,0.05,100000,2116,205,36,21,490000
N10-6.txt,0.74,0.05,100000,2116,198,10,3,490000
